Name,JudgeName,Region,Province,Locality,Address,PostalCode,PhoneNumbers,Email,Fax,Url
Juzgado de Primera Instancia e Instrucción Único,"ALBA CIMARRA, SANTIAGO",Castilla y León,Ávila,Arévalo,"C/ Santa María, 2",05200,"920 30 12 97, 920 30 13 11",mixto1.arevalo@justicia.es,920 30 14 51,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-Unico---Arevalo?provincia=05
Juzgado de Primera Instancia nº 4,"CABRERA CASTILLA, MARIA LUISA",Andalucía,Cádiz,Algeciras,"Pza. de la Constitución, s/n",11202,"956 06 19 21, 956 06 19 19",AtPublico.JInstancia.4.Algeciras.JUS@juntadeandalucia.es,956 02 75 78,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--4---Algeciras?provincia=11
Juzgado de Primera Instancia e Instrucción nº 1,"GARCIA VEGA, JOSE MARÍA",Cataluña,Barcelona,Arenys de Mar,"Auterive, s/n",08350,"93 792 44 01, 93 792 41 25",mixte1.arenys@xij.gencat.cat,93 795 86 01,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Arenys-de-Mar?provincia=08
Juzgado de Primera Instancia e Instrucción nº 2,"LAGÜERA ESTEBANEZ, LORENA",Cantabria,Cantabria,Medio Cudeyo,"Ps. Santa Matilde, s/n",39724,942 52 26 92,juzgado.mediocudeyo2@justicia.cantabria.es,942 52 08 23,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Medio-Cudeyo?provincia=39
Juzgado de Primera Instancia e Instrucción nº 5,"REDONDO PERALBO, PABLO",Castilla y León,Ávila,Ávila,"C/ Ramón y Cajal, 1",05001,"920 35 91 58, 920 35 91 59",mixto5.avila@justicia.es,920 35 91 68,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--5---Avila?provincia=05
Juzgado de Primera Instancia nº 2,"FERNANDEZ ZAPATA, CESAR JOSE",Extremadura,Badajoz,Badajoz,"Avda. de Colón, 8 - 3ª Plta.",06005,"924 28 43 43, 924 28 43 44",instancia2.badajoz@justicia.es,924 28 42 77,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--2---Badajoz?provincia=06
Tribunal Superior de Justicia. Sala de lo Social,"GARCIA MARQUEZ, PETRA",Castilla la Mancha,Albacete,Albacete,"C/ San Agustín, 1",02001,"967 59 65 62, 967 59 65 65",tsj.social.albacete@justicia.es,967 59 65 69,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia--Sala-de-lo-Social---Albacete?provincia=02
Audiencia Provincial Penal nº 2,"COSTA HERNANDEZ, MARIA CRISTINA",Comunidad Valenciana,Alicante,Alicante/Alacant,"Pza. del Ayuntamiento, s/n",03002,"96 516 98 18, 96 516 98 19",alap02_ali@gva.es,96 516 98 22,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--2---Alicante-Alacant?provincia=03
Juzgado de Primera Instancia e Instrucción nº 3,"REY SALGUEIRO, SONIA",Galicia,A Coruña,Betanzos,"Praza Irmáns García Naveira, s/n",15300,"881 88 14 26, 881 88 14 27",mixto3.betanzos@xustiza.gal,881 88 14 29,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Betanzos?provincia=15
Juzgado de Primera Instancia nº 2,"PABLO PABLO, FRANCISCO JAVIER",País Vasco,Araba/Álava,Vitoria-Gasteiz,"Avda. Gasteiz, 18 - 3ª Plta.",01008,"945 00 48 72, 945 00 48 97",instancia2.vitoria@justizia.eus,945 00 49 27,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--2---Vitoria-Gasteiz?provincia=01
Juzgado de Primera Instancia e Instrucción nº 2,"RODRIGUEZ PEREZ, CECILIA MARGARITA",Extremadura,Badajoz,Almendralejo,"Avda. Juan Carlos Rodríguez Ibarra, 112 B",06200,"924 67 12 63, 924 67 79 62",mixto2.almendralejo@justicia.es,924 66 42 25,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Almendralejo?provincia=06
Juzgado de lo Penal nº 1,"MARTINEZ DE LA RIVA, LILIANA",Cataluña,Barcelona,Arenys de Mar,"Auterive, s/n",08350,"93 792 44 11, 93 792 41 25",penal1.arenys@xij.gencat.cat,93 795 84 14,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--1---Arenys-de-Mar?provincia=08
Tribunal Superior de Justicia Adscripción Territorial,"CABALLERO MUÑOZ, ANA MARIA",Extremadura,Cáceres,Cáceres,Plaza de la Audiencia s/n,10003,927 62 02 01,,927 62 02 56,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia-Adscripcion-Territorial---Caceres?provincia=10
Juzgado de Primera Instancia e Instrucción nº 2,"RODRIGUEZ CARO, MARIA VICTORIA",Ceuta,Ceuta,Ceuta,"C/ Serrano Orive, 21. Palacio de Justicia",51001,956 51 83 84,mixto2.ceuta@justicia.es,956 51 61 53,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Ceuta?provincia=51
Juzgado de Primera Instancia e Instrucción nº 2,"LANGARITA CERRADA, JORGE",Cataluña,Barcelona,Arenys de Mar,"Auterive, s/n",08350,"93 792 44 02, 93 792 41 25",mixte2.arenys@xij.gencat.cat,93 792 01 16,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Arenys-de-Mar?provincia=08
Juzgado de Primera Instancia e Instrucción nº 1,,Cantabria,Cantabria,Castro-Urdiales,"C/ Nicolás Torre, 8",39700,"942 86 13 99, 942 86 11 12",juzgado.castrourdiales1@justicia.cantabria.es,942 87 10 08,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Castro-Urdiales?provincia=39
Audiencia Provincial Penal nº 3,"FUENTE YANES, JOSE LUIS DE LA",Comunidad Valenciana,Alicante,Alicante/Alacant,"Pza. del Ayuntamiento, s/n",03002,"96 516 98 27, 96 516 98 28",alap03_ali@gva.es,96 516 98 31,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--3---Alicante-Alacant?provincia=03
Audiencia Provincial Civil nº 1,"GARCIA BLEDA, JOSE",Castilla la Mancha,Albacete,Albacete,"C/ San Agustín, 1",02001,"967 59 65 57, 967 59 65 56",audiencia.s1.albacete@justicia.es,967 59 65 01,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Civil-n--1---Albacete?provincia=02
Audiencia Provincial Civil-Penal Única,"CALLEJO SANCHEZ, MIGUEL ANGEL",Castilla y León,Ávila,Ávila,"Pza. La Santa, 2",05001,"920 21 11 23, 920 22 99 90",audiencia.s1.avila@justicia.es,920 25 19 57,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Civil-Penal-Unica---Avila?provincia=05
Juzgado de Primera Instancia e Instrucción nº 4,"MOURENZA COUTO, MARIA EMMA",Galicia,A Coruña,Betanzos,"Praza Irmáns García Naveira, s/n",15300,"881 88 14 40, 881 88 14 39",mixto4.betanzos@xustiza.gal,881 88 14 41,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Betanzos?provincia=15
Audiencia Provincial Presidencia,"GONZALEZ CASSO, JOAQUIN",Extremadura,Cáceres,Cáceres,"Avda. de la Hispanidad, s/n",10002,"927 62 03 13, 927 62 03 09",,927 62 03 43,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Presidencia---Caceres?provincia=10
Juzgado de Primera Instancia nº 3,"SANTOS RODADO, MARIA DEL CARMEN PILAR",Extremadura,Badajoz,Badajoz,"Avda. de Colón, 8 - 2ª Plta.",06005,"924 28 42 34, 924 28 42 35",instancia3.badajoz@justicia.es,924 28 42 92,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--3---Badajoz?provincia=06
Juzgado de Primera Instancia nº 1,"DOMINGUEZ UREÑA, FRANCISCO JOSE",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 73, 950 80 90 56",AtPublico.JInstancia.1.Almeria.JUS@juntadeandalucia.es,950 20 42 14,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--1---Almeria?provincia=04
Juzgado de lo Contencioso-Administrativo nº 2,"SEVERO CASTRO, ANTONIO FERNANDO",Ceuta,Ceuta,Ceuta,"C/ Fernández, 2",51001,"956 52 51 51, 956 52 51 52",,956 52 51 91,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Contencioso-Administrativo-n--2---Ceuta?provincia=51
Juzgado de lo Penal nº 1,"VARA GARCIA, OLGA",Asturias,Asturias,Avilés,"C/ Marcos del Torniello, 27 - 5ª Plta.",33401,"98 512 78 39, 98 512 78 40",juzgadopenal1.aviles@asturias.org,98 512 78 42,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--1---Aviles?provincia=33
Juzgado de Primera Instancia e Instrucción Único,"SOTORRIO FERNANDEZ-MIJARES, LAURA",Cantabria,Cantabria,Reinosa,"C/ Marqués de Reinosa, 2",39200,"942 77 40 59, 942 77 40 56",juzgado.reinosa@justicia.cantabria.es,942 75 07 91,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-Unico---Reinosa?provincia=39
Juzgado de Primera Instancia e Instrucción nº 1,"HORCAJADA RUIZ, SILVIA",Comunidad Valenciana,Alicante,Alcoy/Alcoi,"Pl. Mare de Deu, 2",03801,"96 553 39 19, 96 533 24 88",acmi01_ali@gva.es,96 553 39 22,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Alcoy-Alcoi?provincia=03
Juzgado de Primera Instancia e Instrucción nº 3,"MARTIN LLERA, VICTOR LUIS",Asturias,Asturias,Avilés,"C/ Marcos del Torniello, 27 - 4ª Plta.",33401,"98 512 78 21, 98 512 78 22",juzgado3.aviles@asturias.org,98 512 78 24,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Aviles?provincia=33
Juzgado de Primera Instancia nº 5,"MERELLO MORAL, RODRIGO",Andalucía,Cádiz,Algeciras,"Pza. de la Constitución, s/n",11202,"662 49 51 06, 662 49 51 15",AtPublico.JInstancia.5.Algeciras.JUS@juntadeandalucia.es,662 98 88 89,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--5---Algeciras?provincia=11
Juzgado de Primera Instancia e Instrucción nº 2,"RODRIGUEZ DEL NOZAL, IRENE",Cantabria,Cantabria,Castro-Urdiales,"C/ Nicolás Torre, 8",39700,"942 86 17 74, 942 86 19 19",juzgado.castrourdiales2@justicia.cantabria.es,942 87 29 31,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Castro-Urdiales?provincia=39
Juzgado de lo Penal nº 2,"ALCARAZ CASTILLEJOS, ALICIA",Cataluña,Barcelona,Arenys de Mar,"Auterive, s/n",08350,"93 792 41 25, 93 792 44 12",penal2.arenys@xij.gencat.cat,93 792 24 56,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-lo-Penal-n--2---Arenys-de-Mar?provincia=08
Juzgado de Primera Instancia nº 4,"LESTON PIÑERO, SUSANA",País Vasco,Bizkaia,Barakaldo,"Pza. Bide Onera, s/n - 3ª Plta.",48901,"94 400 10 05, 94 400 10 00",instancia4.barakaldo@justizia.eus,94 400 10 73,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--4---Barakaldo?provincia=48
Juzgado de Primera Instancia nº 4,"LOPEZ DE LERMA FRAISOLI, MARINA DEL SAGRARIO",Extremadura,Badajoz,Badajoz,"Avda. de Colón, 8 - 3ª Plta.",06005,"924 28 42 54, 924 28 42 55",instancia4.badajoz@justicia.es,924 28 43 31,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--4---Badajoz?provincia=06
Juzgado de Primera Instancia e Instrucción nº 1,"DIAZ PULIDO, BLANCA ESTER",País Vasco,Araba/Álava,Amurrio,"C/ Elexondo, 33 - 1ª Plta.",01470,"945 02 69 90, 945 02 69 91",mixto1.amurrio@justizia.eus,945 02 69 97,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Amurrio?provincia=01
Juzgado de Primera Instancia e Instrucción nº 3,,Ceuta,Ceuta,Ceuta,"C/ Serrano Orive, 21. Palacio de Justicia",51001,"956 51 34 16, 956 51 00 36",mixto3.ceuta@justicia.es,956 51 00 81,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Ceuta?provincia=51
Juzgado de Primera Instancia e Instrucción nº 3,,Extremadura,Badajoz,Almendralejo,"Avda. Juan Carlos Rodríguez Ibarra, 112 B",06200,"924 67 76 52, 924 66 76 96",mixto3.almendralejo@justicia.es,924 67 76 51,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Almendralejo?provincia=06
Juzgado de Primera Instancia e Instrucción nº 3,"GARCIA PEREZ, ISABEL",Cataluña,Barcelona,Arenys de Mar,"Auterive, s/n",08350,"93 792 44 03, 93 792 44 00",mixte3.arenys@xij.gencat.cat,93 795 81 15,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--3---Arenys-de-Mar?provincia=08
Audiencia Provincial Presidencia,"GARCIA ENCINAR, JAVIER",Castilla y León,Ávila,Ávila,"Pza. La Santa, 2",05001,"920 22 99 90, 920 21 11 23",,920 25 19 57,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Presidencia---Avila?provincia=05
Juzgado de Primera Instancia e Instrucción nº 1,,Galicia,A Coruña,Carballo,"C/ Río Grande, s/n",15100,"881 88 11 85, 881 88 11 86",mixto1.carballo@xustiza.gal,881 88 11 87,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Carballo?provincia=15
Juzgado de Primera Instancia nº 3,"JIMENEZ RAMIREZ, MARIA",País Vasco,Araba/Álava,Vitoria-Gasteiz,"Avda. Gasteiz, 18 - 3ª Plta.",01008,"945 00 48 73, 945 00 48 97",instancia3.vitoria@justizia.eus,945 00 49 27,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--3---Vitoria-Gasteiz?provincia=01
Tribunal Superior de Justicia Presidencia,"TENA ARAGON, MARIA FELIX",Extremadura,Cáceres,Cáceres,Plaza de la Audiencia s/n,10003,927 62 02 01,tsj.presidencia.extremadura@justicia.es,927 62 02 56,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia-Presidencia---Caceres?provincia=10
Audiencia Provincial Penal nº 2,"MARTINEZ PALACIOS, MARIA OTILIA",Castilla la Mancha,Albacete,Albacete,"C/ San Agustín, 1",02001,"967 59 65 33, 967 59 65 37",audiencia.s2.albacete@justicia.es,967 59 65 88,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Penal-n--2---Albacete?provincia=02
Juzgado de Primera Instancia nº 2,"BUITRAGO PASTOR, MARIA JOSE",Andalucía,Almería,Almería,Ctra. de Ronda 120,04006,"950 80 90 74, 950 80 90 56",AtPublico.JInstancia.2.Almeria.JUS@juntadeandalucia.es,950 20 42 21,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-n--2---Almeria?provincia=04
Juzgado de Primera Instancia e Instrucción nº 4,,Asturias,Asturias,Avilés,"C/ Marcos del Torniello, 27 - 3ª Plta.",33401,"98 512 78 27, 98 512 78 28",juzgado4.aviles@asturias.org,98 512 78 30,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--4---Aviles?provincia=33
Tribunal Superior de Justicia Adscripción Territorial,"FIGUEROA GRAU, MARIA FERNANDA",Cantabria,Santander,39010," ","Avda. Pedro San Martín, s/n",Cantabria,,"942 32 03 97, 942 34 69 69",/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Tribunal-Superior-de-Justicia-Adscripcion-Territorial---Santander?provincia=39
Juzgado de Instrucción nº 1,"BARRANCO AREVALO, BELEN",Andalucía,Cádiz,Algeciras,"Pza. de la Constitución, s/n",11202,"956 90 81 97, 956 90 81 95",AtPublico.JInstrucc.1.Algeciras.JUS@juntadeandalucia.es,956 02 75 28,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Instruccion-n--1---Algeciras?provincia=11
Juzgado de Primera Instancia e Instrucción nº 1,"ROMERO GARCIA-MORA, GUILLERMO",Extremadura,Cáceres,Cáceres,"Avda. de la Hispanidad, s/n",10002,"927 62 03 21, 927 62 03 22",mixto1.caceres@justicia.es,927 62 01 82,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--1---Caceres?provincia=10
Audiencia Provincial Civil nº 4,"FLOREZ MENENDEZ, MANUEL BENIGNO",Comunidad Valenciana,Alicante,Alicante/Alacant,"Pza. del Ayuntamiento, s/n",03002,"96 516 98 36, 96 516 98 37",alap04_ali@gva.es,96 516 98 40,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Audiencia-Provincial-Civil-n--4---Alicante-Alacant?provincia=03
Juzgado de Primera Instancia e Instrucción nº 2,"GOMEZ TEJADA, CARLOS",Comunidad Valenciana,Alicante,Alcoy/Alcoi,"Pl. Mare de Deu, 2",03801,"96 553 39 23, 96 533 00 54",acmi02_ali@gva.es,96 553 39 26,/cgpj/es/Servicios/Directorio/Directorio-de-Organos-Judiciales/Juzgado-de-Primera-Instancia-e-Instruccion-n--2---Alcoy-Alcoi?provincia=03
